event_id,date,event_type,event_description,expected_direction,anticipated,source,ticker
E01,2026-01-30,market_volatility,"""SK Hynix rose 6.2% to 949,000 won ($656.29), surpassing its previous intraday high of 931,000 won set on Jan. 30""",positive,0,https://www.kedglobal.com/korean-stock-market/newsView/ked202602200005,000660
E02,2026-02-20,foreign_flow,"""SK hynix shares gain traction after BlackRock lifts stake to 5%""",positive,0,https://www.ajupress.com/view/20260220135402316         ,000660
E03,2026-02-24,foreign_flow,"Intraday break above 1,000,000 won ($)",positive,1,https://www.sedaily.com/article/20011865,000660
E04,2026-04-23,earnings,"SK Hynix posts record first-quarter profit, in line with estimates as memory prices climb",positive,1,	https://www.cnbc.com/2026/04/23/sk-hynix-earnings-ai-memory-shortage-hbm-demand.html,000660
E05,2026-05-14,market_volatility,"First-ever break above 2,000,000 won ($) in pre-market trading, hitting a 52-week high""",positive,0,https://news.nate.com/view/20260514n24016 ,000660
E06,2026-06-22,market_volatility,"""SK Hynix overtakes Samsung to become South Korea’s most valuable company""",positive,0,https://www.investing.com/news/stock-market-news/sk-hynix-overtakes-samsung-to-become-south-koreas-most-valuable-company-4756005,000660
E07,2026-06-24,corporate_action,"""South Korea’s biggest chipmaker SK Hynix plans to raise $29 billion via Nasdaq listing as soon as July 10""",neutral,1,https://www.cnbc.com/2026/06/24/sk-hynix-nasdaq-adr-listing-south-korea.html,000660
E08,2026-07-10,corporate_action,"""South Korea’s SK Hynix raises $26.5bn in record-breaking US IPO""",positive,1,https://www.aljazeera.com/economy/2026/7/10/south-koreas-sk-hynix-raises-26-5bn-in-record-breaking-us-ipo,000660
E09,2026-07-13,market_volatility,"SK Hynix South Korean shares clock worst day, sinking over 15%, after stellar Nasdaq debut""",negative,0,https://www.cnbc.com/2026/07/13/sk-hynix-shares-fall-after-stellar-nasdaq-debut.html,000660
S01,2026-01-26,corporate_action,"Samsung finalizes HBM4 supply deal for Nvidia's Vera Rubin AI platform, with mass production set to begin the following month",positive,1,https://www.insiderfinance.io/news/samsung-q1-2026-earnings-record-chip-profits,005930
S02,2026-01-28,foreign_flow,"BlackRock raises its Samsung Electronics stake to 5.07%, an investment worth roughly 25.4 trillion won",positive,0,https://en.sedaily.com/finance/2026/02/20/blackrock-becomes-4th-largest-shareholder-as-sk-hynix-hits,005930
S03,2026-04-07,earnings,"Samsung guides Q1 operating profit to 57.2 trillion won, an eight-fold year-on-year jump; shares surge as much as 5% before giving back most gains",neutral,1,https://finance.yahoo.com/markets/stocks/articles/samsung-q1-2026-record-profit-120945895.html,005930
S04,2026-04-30,earnings,"Samsung confirms record Q1 results (revenue 133.9tn won, operating profit 57.2tn won, both beating estimates); shares reverse to close 2.4% lower on profit-taking",negative,1,https://www.cnbc.com/2026/04/30/samsung-q1-earnings-ai-memory-chip-demand-profit-record.html,005930
S05,2026-06-01,market_volatility,"Samsung jumps 10.09% to a record closing price of 349,000 won as it unveils an HBM5 mockup at Computex 2026",positive,0,https://www.mt.co.kr/stock/2026/06/01/2026060109085335395,005930
S06,2026-06-02,market_volatility,"Samsung shares touch an intraday record of 370,000 won, extending the prior day's rally",positive,0,https://v.daum.net/v/20260602160353352,005930
S07,2026-06-19,market_volatility,"Samsung hits an intraday all-time high of 374,500 won, then reverses on delayed US-Iran negotiations",neutral,0,https://www.mt.co.kr/stock/2026/06/19/2026061914552469467,005930
S08,2026-06-22,market_volatility,"SK Hynix overtakes Samsung to become South Korea's most valuable company, ending Samsung's 26-year run at the top",neutral,0,https://www.investing.com/news/stock-market-news/sk-hynix-overtakes-samsung-to-become-south-koreas-most-valuable-company-4756005,005930
S09,2026-06-23,market_volatility,Samsung reclaims the market-cap top spot as a broad tech sell-off sends both chipmakers' shares down more than 12%,negative,0,https://fortune.com/2026/06/23/sk-hynix-samsung-semiconductors-south-korea-most-valuable-company/,005930
S10,2026-07-07,earnings,"Samsung's Q2 preliminary results beat expectations, but shares fall 7% as institutional investors book profits",negative,1,https://www.tradingkey.com/kr/analysis/stocks/more/262023797-stock-samsumg-price-prediction-ai-mu-nand-dram-hbm-galaxy-dx-tradingkey,005930
S11,2026-07-13,market_volatility,"Samsung shares slide alongside SK Hynix in a broad sell-off, triggering a 20-minute trading halt on the Kospi",negative,0,https://finance.yahoo.com/markets/stocks/articles/sk-hynix-shares-fall-much-003035107.html,005930
